City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
172,vilyuchinsk,52.9306,158.4028,-2.82,97,100,2.41,RU,1699622289
173,red hill,33.9996,-79.2581,18.84,47,70,2.83,US,1699622289
174,skelleftea,64.7507,20.9528,0.2,100,75,3.09,SE,1699622290
175,tofol,5.3248,163.0078,28.64,81,100,6.91,FM,1699622291
176,ponta delgada,37.7333,-25.6667,21.4,88,40,7.72,PT,1699622292
177,colonia,50.9333,6.95,11.09,69,75,6.69,DE,1699622293
178,aykhal,66.0,111.5,-13.98,93,42,2.74,RU,1699622295
179,bredasdorp,-34.5322,20.0403,26.88,43,99,6.14,ZA,1699622296
180,terrace,54.5163,-128.6035,4.95,93,100,5.66,CA,1699622297
181,al hufuf,25.3646,49.5653,31.19,33,0,1.54,SA,1699622226
182,tiksi,71.6872,128.8694,-16.73,89,100,4.43,RU,1699622299
183,mount gambier,-37.8333,140.7667,14.81,77,11,2.95,AU,1699622300
184,susuman,62.7833,148.1667,-30.06,98,87,0.32,RU,1699622300
185,barstow heights,34.8697,-117.0562,2.73,27,0,0.57,US,1699622301
186,mount isa,-20.7333,139.5,24.87,94,100,1.54,AU,1699622302
187,kondopoga,62.2057,34.2614,4.83,93,100,2.62,RU,1699622303
188,dryden,49.7833,-92.7503,-3.84,100,100,1.54,CA,1699622304
189,flying fish cove,-10.4217,105.6791,25.82,83,40,3.6,CX,1699622305
190,aromashevo,56.8602,68.6375,0.67,99,100,1.17,RU,1699622306
191,magog,45.2668,-72.1491,4.9,70,65,9.26,CA,1699622059
192,lata,40.1629,-8.3327,17.26,65,98,3.21,PT,1699622308
193,dunedin,-45.8742,170.5036,6.44,89,0,1.94,NZ,1699622082
194,gaalkacyo,6.7697,47.4308,23.61,89,100,4.81,SO,1699622310
195,port isabel,26.0734,-97.2086,23.9,90,75,0.73,US,1699622311
196,west bay,19.3667,-81.4167,30.04,88,20,4.12,KY,1699622313
197,tamandare,-8.7597,-35.1047,29.0,55,9,5.99,BR,1699622313
198,vadso,70.0744,29.7487,-1.91,93,75,6.69,NO,1699622314
199,al qaryatayn,34.2296,37.2407,23.09,34,6,2.04,SY,1699622316
200,venice,27.0998,-82.4543,23.92,93,8,1.34,US,1699622048
201,xilin hot,43.9667,116.0333,-16.78,93,11,1.28,CN,1699622317
202,ola,59.5833,151.2833,-16.53,82,5,6.17,RU,1699622318
203,santa cruz,-17.8,-63.1667,31.7,58,1,6.69,BO,1699622319
204,singaparna,-7.3515,108.111,23.41,88,81,0.58,ID,1699622320
205,pisco,-13.7,-76.2167,19.03,82,100,4.63,PE,1699622088
206,goz beida,13.95,20.55,39.46,13,100,3.69,TD,1699622322
207,talnakh,69.4865,88.3972,-7.66,83,100,9.71,RU,1699622323
208,dhidhdhoo,6.8833,73.1,28.81,74,99,4.96,MV,1699622324
209,ribeira grande,38.5167,-28.7,21.22,94,75,11.18,PT,1699622325
210,kirakira,-10.4544,161.9205,26.11,90,100,4.91,SB,1699622326
211,saint-philippe,-21.3585,55.7679,26.77,81,99,3.34,RE,1699622327
212,olonkinbyen,70.9221,-8.7187,-1.76,64,64,2.32,SJ,1699622328
213,st. john's,47.5649,-52.7093,3.87,93,75,14.4,CA,1699622328
214,gloucester,51.8657,-2.2431,10.2,81,40,5.14,GB,1699622329
215,mpongwe,-13.5091,28.155,31.59,30,65,3.36,ZM,1699622330
216,ciudad lopez mateos,19.5583,-99.2614,14.52,68,94,0.61,MX,1699622331
217,truro,50.2653,-5.0544,12.69,76,75,10.29,GB,1699622332
218,dawei,14.0833,98.2,26.15,88,85,0.63,MM,1699622333
219,saryozek,44.3583,77.9753,5.29,83,100,2.19,KZ,1699622334
220,lethbridge,49.7,-112.8186,2.58,69,20,4.63,CA,1699622335
221,manavalakurichi,8.1333,77.3,27.52,81,94,1.91,IN,1699622336
222,dalandzadgad,43.5708,104.425,-8.2,29,5,3.02,MN,1699622337
223,fort bragg,35.139,-79.006,18.23,85,75,0.45,US,1699622338
224,bamboo flat,11.7,92.7167,27.05,89,40,1.03,IN,1699622339
225,coruripe,-10.1256,-36.1756,29.47,55,1,6.86,BR,1699622340
226,namibe,-15.1961,12.1522,23.65,65,69,5.34,AO,1699622341
227,broome,42.2506,-75.833,6.68,69,0,3.09,US,1699622343
